0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.33,-0.33,-0.3,-0.46,-0.5500001,-0.5500001,-0.50000006,-0.4,-0.5500001,-0.30999997,-0.42000002,-0.6100001,-0.49,-0.4,-0.5,-0.52000004,-0.41,-0.12999997,-0.36999997,-0.6500001
-0.29000002,-0.43,-0.5,-0.6,-0.8000001,-0.70000005,-0.3,-0.12000003,-0.70000005,-0.5,-0.4,-0.5,-0.6,-0.5,-0.020000026,-0.4,-0.28,-0.27,-0.47,-0.3
-0.37000003,-0.3,-0.3,-0.48000002,-0.54999995,-0.54999995,-0.24999997,-0.39000002,-0.54999995,-0.53000003,-0.5,-0.73000014,-0.69000006,-0.09,-0.34999996,-0.48,-0.6500001,-0.3099999,-0.54999995,-0.55
-0.9000001,-0.48999998,-0.51,-0.65,-0.37999988,-0.3799999,-0.67000014,-0.61,-0.22999986,-0.8600001,-1.06,-0.7800001,-0.73,-0.59999996,-0.79000014,-0.9700001,-0.11999985,0.41000006,-0.27999994,-0.9500001
-0.5,-0.6,-0.3,-0.70000005,-0.5500001,-0.97000015,-0.5,-0.2,-0.77000004,-0.6,-0.6,-0.70000005,-0.4,-0.4,-0.4,-0.5,-0.7500001,-0.6,-0.6500001,-0.6
-0.5600001,-0.42,-0.3,-0.6,-0.9000001,-0.70000005,-0.70000005,-0.17999995,-1.0000001,-0.4,-0.70000005,-0.8000001,-0.5,-0.4,-0.27999994,-0.5,-0.72,-0.37999994,-0.5799999,-0.6
-0.5,-0.3,-0.3,-0.6,-0.70000005,-0.6,-0.5,-0.3,-0.70000005,-0.6,-0.4,-0.5,-0.3,-0.5,-0.4,-0.3,-0.5,-0.42,-0.8000001,-0.5
-0.4,-0.3,-0.3,-0.4,-0.8000001,-0.70000005,-0.6,-0.2,-0.8000001,-0.5,-0.5,-0.6,-0.4,-0.3,-0.5,-0.5,-0.8000001,-0.35999995,-0.70000005,-0.5
-0.3,-0.4,-0.3,-0.6,-0.45000002,-0.59000003,-0.6,-0.2,-0.69000006,-0.5,-0.6,-0.6,-0.5,-0.3,-0.3,-0.5,-0.6500001,-0.4,-0.5500001,-0.5
-0.4,-0.4,-0.3,-0.4,-0.29999992,-0.32,-0.5,-0.4,-0.32,-0.6,-0.6,-0.6,-0.5,-0.2,-0.4,-0.5,-0.39999998,-0.6,-0.29999992,-0.5
-0.40000004,-0.32999998,-0.04000003,-0.39999998,-0.30000007,-0.30000004,-0.34000003,-0.16999996,-0.49999994,-0.48,-0.48,-0.30000004,-0.38,-0.59999996,-0.100000046,-0.55,-0.40000004,-0.30000004,-0.40000004,-0.70000005
-0.5,-0.5,-0.3,-0.5,-0.6,-0.5,-0.6,-0.4,-0.70000005,-0.6,-0.6,-0.5,-0.6,-0.4,-0.4,-0.4,-0.70000005,-0.5,-0.70000005,-0.6
-0.5,-0.4,-0.4,-0.5,-0.30000004,-0.46,-0.6,-0.5,-0.66,-0.5,-0.4,-0.6,-0.4,-0.5,-0.6,-0.5,-0.40000004,-0.6,-0.59999996,-0.5
-0.6,-0.5,-0.1,-0.2,-0.70000005,-0.4,-0.4,-0.4,-0.70000005,-0.70000005,-0.4,-0.6,-0.3,-0.3,-0.4,-0.6,-0.5,-0.5,-0.6,-0.5
-0.4,-0.5,-0.3,-0.5,-0.1599999,-0.52,-0.5,-0.3,-0.52,-0.5,-0.5,-0.6,-0.5,-0.4,-0.3,-0.6,-0.059999935,-0.70000005,-0.1599999,-0.6
-0.6,-0.53999996,-0.2,-0.53999996,-0.37999985,-0.5999999,-0.5799999,-0.70000005,-0.80000025,-0.64000005,-0.53999996,-0.47999993,-0.23999998,-0.5,-0.4,-0.64000005,-0.27999985,-0.26999995,-0.27999985,-0.64000005
-0.4,-0.4,-0.4,-0.70000005,-0.6,-0.70000005,-0.6,-0.4,-0.6,-0.6,-0.8000001,-0.8000001,-0.5,-0.4,-0.6,-0.6,-0.8000001,-0.4,-0.6,-0.70000005
-0.5,-0.3,-0.3,-0.70000005,-0.5,-0.8000001,-0.6,-0.4,-0.6,-0.6,-0.4,-0.5,-0.5,-0.4,-0.4,-0.4,-0.70000005,-0.5,-0.6,-0.5
-0.6,-0.5,-0.4,-0.4,-0.40000004,-0.56,-0.4,-0.4,-0.66,-0.6,-0.6,-0.6,-0.4,-0.5,-0.5,-0.5,-0.50000006,-0.6,-0.50000006,-0.5
